Field,Link,National/state,Dates,Binkley,Burgum,Christie,DeSantis,Elder,Haley,Hurd,Hutchinson,Johnson,Pence,Ramaswamy,Scott,Suarez,Trump
Signed loyalty pledge?,,,,,,TBD,TBD,,TBD,,,TBD,,,,,TBD
Met fundraising targets?,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Hit polling threshold?,,,,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y
Qualifies for debate?,,,,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y
Declined to participate?,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,No
Polling average,,,,,,,,,,,,,,,,,
Dropped out?,,,,,,,,,,,,,,,,,
Morning Consult,https://twitter.com/MorningConsult/status/1679147139707064322/photo/1,National,July 7–9,,0,0.03,0.17,,0.03,0,0.01,,0.07,0.08,0.03,0,0.56
Morning Consult,https://twitter.com/morningconsult/status/1681287709300604928?s=61&t=iQMpetDFgh22l6rB2hcM1Q,National,July 14–16,,0,0.02,0.2,,0.04,0,0,,0.07,0.08,0.03,0,0.55
UNH Granite State Poll,https://scholars.unh.edu/survey_center_polls/749/?utm_source=AdaptiveMailer&utm_medium=email&utm_campaign=New%20Hampshire%20Poll%20Results&org=785&lvl=100&ite=26308&lea=8986864&ctr=0&par=1&trk=a0W6f00000Yzjv4EAB,New Hampshire,July 13–17,,0.06,0.06,0.23,,0.05,0.01,0,,0.01,0.05,0.08,0,0.37
Fox Business,https://static.foxbusiness.com/foxbusiness.com/content/uploads/2023/07/Fox_July-15-19-2023_Iowa_R_Caucus_Topline_July-23-Release.pdf,Iowa,July 15–19,,0.03,0.03,0.16,0,0.05,0,0.01,,0.04,0.06,0.11,0.01,0.46
Fox Business,https://static.foxbusiness.com/foxbusiness.com/content/uploads/2023/07/Fox_July-15-19-2023_South-Carolina_R_Primary_Topline_July-23-Release.pdf,South Carolina,July 15–19,,0,0.02,0.13,0,0.14,0,0.01,,0.04,0.03,0.1,0,0.48
Morning Consult,https://twitter.com/MorningConsult/status/1683802022385160196,National,July 21–23,,0.01,0.02,0.16,,0.04,0,0,,0.06,0.08,0.02,0,0.59
JMC Analytics,https://6c3fd7.a2cdn1.secureserver.net/wp-content/uploads/2023/07/Republican-Presidential-Executive-Summary.pdf,National,July 18–22,,0.01,0.04,0.17,,0.03,,0.01,0,0.03,0.03,0.05,,0.53
Kaplan Strategies,https://kaplanstrategies.com/2023/07/20/biotech-investor-ramaswamy-joins-desantis-as-top-trump-rival-kaplan-strategies-poll/,National,July 14–16,,0,0.05,0.12,,0.03,,0.01,,0.05,0.12,0.05,,0.48
New York Times/Siena College,https://www.nytimes.com/interactive/2023/07/31/us/elections/times-siena-poll-republican-primary-toplines.html,National,July 23–27,,0,0.02,0.17,0,0.03,**,0,0,0.03,0.02,0.03,0,0.54
Morning Consult,https://twitter.com/MorningConsult/status/1686761547136135169,National,July 28–30,,0.01,0.03,0.15,,0.03,0.01,0,,0.07,0.09,0.03,0,0.58
Morning Consult,https://twitter.com/MorningConsult/status/1690868607570305025,National,Aug. 4–6,,0,0.03,0.16,,0.03,0,0.01,,0.06,0.08,0.03,0,0.59
Fairleigh Dickinson University,https://www.fdu.edu/news/fdu-poll-trump-leads-in-poll-of-likely-republican-primary-voters/,National,July 31–Aug. 6,,0.01,0.05,0.15,0,0.03,0,0,,0.05,0.03,0.02,,0.58
Kaplan Strategies,https://kaplanstrategies.com/2023/08/14/trump-leads-close-race-for-second-place/,National,Aug. 9–10,,0.01,0.04,0.1,,0.04,,0,,0.08,0.11,0.02,,0.48
Morning Consult,https://twitter.com/MorningConsult/status/1692281166403924128,National,Aug. 11–13,,0.01,0.03,0.16,,0.03,0,0.01,,0.07,0.09,0.03,0.01,0.57
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/TFG-National-GOP-PPP-Poll-Report-0817.pdf,National,Aug. 14-16,,0,0.05,0.17,0.01,0.04,0,0.01,0.01,0.05,0.04,0.04,0,0.55
JMC Analytics,https://winwithjmc.com/archives/9762,National,Aug. 14-17,,0.01,0.04,0.13,,0.03,0,0.01,0,0.04,0.05,0.04,0,0.52
Victory Insights,https://irp.cdn-website.com/07e08705/files/uploaded/PollReport_NationalGOP_08-18-2023.pdf,National,Aug. 15-17,,,0.06,0.12,,0.02,,,0.01,0.04,0.04,0.01,,0.61
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/NH-GOP-PPP-Poll-Report-0818.pdf,New Hampshire,Aug. 14-16,0,0.03,0.09,0.11,0,0.03,0.01,0.01,0.02,0.03,0.1,0.08,0,0.5
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/IA-GOP-Caucus-Poll-Report-0818.pdf,Iowa,Aug. 14-16,0.01,0.03,0.04,0.16,0.01,0.05,0,0.01,0.01,0.04,0.06,0.13,0,0.42
Amercan Pulse,https://www.americanpulse.us/NationalGOPPollAugust2023,National,Aug. 15-16,0,0,0.04,0.13,0,0.03,0,0,0,0.04,0.07,0.04,0,0.58
Firehouse Strategies/3D Strategic Research,https://firehousestrategies.com/firehouse-poll-of-gop-primary/,National,Aug. 15-17,0,0,0.05,0.16,0,0.04,0,0,0,0.06,0.09,0.03,0,0.5
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/SC-GOP-PPP-Poll-Report-0820.pdf,South Carolina,Aug. 17-19,0,0,0.07,0.14,0,0.08,0,0,0,0.02,0.06,0.14,0,0.48
Echelon Insights/Republican Main Street Partnership,https://echelonin.wpenginepowered.com/wp-content/uploads/RMSP-National-Republican-Primary-Voter-Survey-Topline.pdf,National,Aug. 15-17,0,0,0.01,0.12,0,0.03,0,0,,0.04,0.15,0.03,0,0.57
Echelon Insights/Republican Main Street Partnership,http://echeloninsights.com/wp-content/uploads/RMSP-Iowa-Republican-Caucus-Voter-Survey-Topline.pdf,Iowa,Aug. 15-17,0,0.02,0.04,0.17,0,0.02,0.01,0,,0.03,0.08,0.13,0,0.33
Echelon Insights/Republican Main Street Partnership,http://echeloninsights.com/wp-content/uploads/RMSP-Iowa-Republican-Caucus-Voter-Survey-Topline.pdf,New Hampshire,Aug. 15-17,0,0.02,0.14,0.09,0,0.03,0.03,0.01,,0.03,0.11,0.07,0,0.34
American Wire/McShane LLC,https://americanwirenews.com/exclusive-trump-surges-but-voters-say-they-can-be-persuaded-in-new-american-wire-news-poll/,National,2023-08-15 00:00:00,,0.01,0.06,0.12,0,0.03,0,0.01,,0.05,0.05,0.03,0.01,0.52
Morning Consult,https://twitter.com/MorningConsult/status/1693699741127708755,National,Aug. 18-20,,0,0.03,0.14,,0.03,0,0.01,,0.06,0.1,0.03,0,0.58
Key,,,,,,,,,,,,,,,,,
Unconfirmed qualifying poll,,,,,,,,,,,,,,,,,
Candidate dropped out,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Spreadsheet by: Steven Shepard and Zach Montellaro, POLITICO",,,,,,,,,,,,,,,,,
